date,year,month,city,latitude,longitude,cedi_price/(KG)
2020-02-15,2020,2,Bolga,10.79,-0.85,1.77
2020-04-15,2020,4,Bolga,10.79,-0.85,2.33
2020-04-15,2020,4,Garu,10.85,-0.18,1.91
2020-05-15,2020,5,Bolga,10.79,-0.85,1.68
2020-05-15,2020,5,Garu,10.85,-0.18,1.82
2020-06-15,2020,6,Bolga,10.79,-0.85,1.5
2020-06-15,2020,6,Garu,10.85,-0.18,2.91
2020-07-15,2020,7,Bolga,10.79,-0.85,1.77
2020-07-15,2020,7,Garu,10.85,-0.18,1.76
2020-08-15,2020,8,Bolga,10.79,-0.85,2.07
2020-08-15,2020,8,Garu,10.85,-0.18,1.82
2020-09-15,2020,9,Bolga,10.79,-0.85,2.61
2021-03-15,2021,3,Bolga,10.79,-0.85,1.24
2021-04-15,2021,4,Bolga,10.79,-0.85,2.11
2021-06-15,2021,6,Bolga,10.79,-0.85,8.6
2021-09-15,2021,9,Bolga,10.79,-0.85,18.4
2021-11-15,2021,11,Bolga,10.79,-0.85,7.56
2021-12-15,2021,12,Bolga,10.79,-0.85,8.63
2022-01-15,2022,1,Bolga,10.79,-0.85,8.63
2022-05-15,2022,5,Bolga,10.79,-0.85,4.36
2022-07-15,2022,7,Bolga,10.79,-0.85,3.44
2022-08-15,2022,8,Bolga,10.79,-0.85,1.8
2022-11-15,2022,11,Bolga,10.79,-0.85,8.03
2022-12-15,2022,12,Bolga,10.79,-0.85,8.03
2023-01-15,2023,1,Bolga,10.79,-0.85,5.62
2023-02-15,2023,2,Bolga,10.79,-0.85,2.39
2023-03-15,2023,3,Bolga,10.79,-0.85,2.39
2023-07-15,2023,7,Bolga,10.79,-0.85,8.26
